skills,education,years_experience,past_job_titles,certifications,required_skills,job_title,job_level,industry,skill_match_score,hired,performance_score
"DevOps, NLP, Python, Azure",Master's,6.5,"Software Engineer, Backend Developer, Frontend Developer",Cisco Certified,Deep Learning,Machine Learning Engineer,Lead,Finance,0.0,0,0.0
"JavaScript, AWS, Java, Cloud Computing",PhD,10.5,"UX Designer, Product Manager",AWS Certified,"Tableau, Power BI, Docker",QA Engineer,Manager,Education,0.0,1,5.4
Kubernetes,PhD,12.1,"Product Manager, QA Engineer",Scrum Master,"Python, Data Analysis",Data Scientist,Manager,Finance,0.0,1,7.3
"JavaScript, SQL",PhD,1.3,"QA Engineer, Frontend Developer, Machine Learning Engineer",CISSP,"Statistics, R, GCP, Azure",UX Designer,Mid,Retail,0.0,0,0.0
"Machine Learning, Excel, JavaScript, Azure, Java",Master's,8.8,"Software Engineer, Backend Developer",None,"Computer Vision, Kubernetes, JavaScript, Python",Full Stack Developer,Director,Transportation,0.25,1,8.1
"Machine Learning, AWS, Azure, Docker",High School,0.8,QA Engineer,CISSP,"Machine Learning, JavaScript, Power BI",QA Engineer,Junior,Consulting,0.3333333333333333,0,0.0
"Java, NLP, R",Associate's,12.4,"Project Manager, Full Stack Developer",AWS Certified,"Project Management, Data Analysis",Machine Learning Engineer,Senior,Manufacturing,0.0,1,7.6
"Azure, SQL, Cloud Computing",Master's,10.0,"Data Scientist, Frontend Developer",CISSP,Statistics,Data Engineer,Lead,Energy,0.0,0,0.0
Statistics,Master's,10.4,"Backend Developer, Full Stack Developer, QA Engineer",None,"Java, Python, Machine Learning, C++",UX Designer,Junior,Manufacturing,0.0,0,0.0
Statistics,Master's,11.4,"Product Manager, Machine Learning Engineer, QA Engineer",AWS Certified,"Python, Project Management",Project Manager,Senior,Finance,0.0,1,6.1
"Kubernetes, Statistics, Project Management, C++, Deep Learning",Associate's,7.4,Full Stack Developer,Cisco Certified,"AWS, Excel, Computer Vision, JavaScript",Data Engineer,Mid,Tech,0.0,0,0.0
"Tableau, Data Analysis, Machine Learning",High School,4.5,"Frontend Developer, Data Engineer",CompTIA,C++,UX Designer,Senior,Transportation,0.0,0,0.0
"Docker, Statistics",Master's,11.8,"Project Manager, UX Designer",CompTIA,"Java, Data Analysis",UX Designer,Senior,Finance,0.0,1,4.4
"Statistics, Docker, Power BI, C++",Bachelor's,11.7,"UX Designer, QA Engineer",Google Cloud,"Tableau, Docker, Azure",DevOps Engineer,Junior,Tech,0.3333333333333333,1,5.4
Statistics,Associate's,2.0,DevOps Engineer,None,C++,QA Engineer,Lead,Consulting,0.0,0,0.0
"Java, Azure, Computer Vision",High School,13.5,"Project Manager, Business Analyst, Machine Learning Engineer",CISSP,"Python, Machine Learning",Backend Developer,Manager,Transportation,0.0,0,0.0
"Machine Learning, Deep Learning, Data Analysis",Bachelor's,3.3,"Product Manager, UX Designer",Cisco Certified,GCP,QA Engineer,Manager,Education,0.0,0,0.0
"Data Analysis, Deep Learning",Master's,4.6,"Project Manager, Data Scientist",PMP,"Tableau, GCP, R, Java",Frontend Developer,Junior,Tech,0.0,0,0.0
"SQL, Excel, Java, GCP, DevOps",Bachelor's,3.2,Machine Learning Engineer,CISSP,"Docker, Kubernetes",Frontend Developer,Mid,Retail,0.0,0,0.0
"AWS, Tableau, R",PhD,14.5,Project Manager,Cisco Certified,SQL,Data Scientist,Manager,Education,0.0,1,8.8
"Machine Learning, DevOps",High School,4.5,"UX Designer, Product Manager",Cisco Certified,"Excel, Project Management, Power BI, Azure",Software Engineer,Junior,Consulting,0.0,0,0.0
Statistics,High School,14.6,"UX Designer, Frontend Developer",PMP,"Machine Learning, Cloud Computing, Azure, Power BI",DevOps Engineer,Manager,Healthcare,0.0,0,0.0
"Excel, GCP, C++",PhD,9.6,"Cloud Architect, Data Scientist",CompTIA,"Docker, Python",Backend Developer,Mid,Tech,0.0,1,4.8
Computer Vision,Bachelor's,2.6,Data Scientist,CompTIA,"Statistics, NLP, Deep Learning",UX Designer,Senior,Transportation,0.0,0,0.0
Azure,High School,8.3,"Software Engineer, Frontend Developer",Scrum Master,"Data Analysis, Statistics, AWS, Cloud Computing",Data Engineer,Manager,Transportation,0.0,0,0.0
"Java, C++, GCP, Cloud Computing, Kubernetes",Master's,13.2,"Full Stack Developer, Machine Learning Engineer",Microsoft Certified,Tableau,Backend Developer,Manager,Energy,0.0,1,6.6
"NLP, Docker, Power BI, Java",PhD,8.4,"DevOps Engineer, Business Analyst, Software Engineer",AWS Certified,"Deep Learning, Kubernetes, NLP, Cloud Computing",UX Designer,Mid,Consulting,0.25,1,7.7
"Kubernetes, Excel",High School,2.0,Cloud Architect,Google Cloud,Java,Data Scientist,Mid,Consulting,0.0,0,0.0
"Tableau, Excel, Java, Azure, Kubernetes",High School,4.3,"Data Engineer, Data Scientist, DevOps Engineer",AWS Certified,"C++, R, Kubernetes",Project Manager,Director,Tech,0.3333333333333333,0,0.0
"Deep Learning, R, Machine Learning",Associate's,3.4,"QA Engineer, Product Manager, Machine Learning Engineer",AWS Certified,Project Management,QA Engineer,Director,Healthcare,0.0,0,0.0
"Tableau, AWS, Cloud Computing, Excel, Docker",Bachelor's,1.9,Data Engineer,CompTIA,"Computer Vision, Machine Learning, NLP, SQL",Data Engineer,Lead,Consulting,0.0,0,0.0
"R, AWS, C++",PhD,4.9,"Backend Developer, Software Engineer, Full Stack Developer",Google Cloud,"Python, GCP, Computer Vision",Backend Developer,Lead,Retail,0.0,0,0.0
"Machine Learning, GCP, AWS, R",High School,9.9,"DevOps Engineer, Business Analyst, Machine Learning Engineer",CISSP,"R, AWS, Tableau, Cloud Computing",Frontend Developer,Manager,Retail,0.5,1,6.1
"Computer Vision, Machine Learning, Cloud Computing",PhD,5.7,"Cloud Architect, Machine Learning Engineer",CompTIA,NLP,Cloud Architect,Lead,Manufacturing,0.0,1,6.0
"GCP, Deep Learning, JavaScript, Kubernetes, C++",Master's,6.7,"Full Stack Developer, Data Scientist",Scrum Master,"Data Analysis, GCP, Docker, DevOps",Product Manager,Manager,Education,0.25,0,0.0
"GCP, Project Management, DevOps",Associate's,4.8,"Business Analyst, Machine Learning Engineer",Microsoft Certified,Deep Learning,Data Engineer,Senior,Consulting,0.0,0,0.0
"Deep Learning, R, C++",Bachelor's,14.9,"Product Manager, Software Engineer",Cisco Certified,"Deep Learning, Azure, Tableau",Business Analyst,Junior,Retail,0.3333333333333333,1,7.6
"AWS, Kubernetes, Excel, Data Analysis, Tableau",Bachelor's,8.8,Machine Learning Engineer,PMP,"DevOps, GCP",Software Engineer,Senior,Retail,0.0,0,0.0
"Cloud Computing, Machine Learning",Master's,12.5,"Backend Developer, UX Designer",Cisco Certified,Tableau,Data Scientist,Mid,Energy,0.0,1,5.5
"R, Docker",High School,6.6,"Product Manager, Machine Learning Engineer, Cloud Architect",AWS Certified,"Statistics, Power BI, Deep Learning",Machine Learning Engineer,Lead,Finance,0.0,0,0.0
"Machine Learning, Azure, Cloud Computing",Associate's,2.5,"UX Designer, Cloud Architect, Machine Learning Engineer",Cisco Certified,"Project Management, Machine Learning, R, Statistics",QA Engineer,Manager,Healthcare,0.25,0,0.0
"AWS, C++, Excel, R, Deep Learning",Bachelor's,12.7,"Backend Developer, Business Analyst",AWS Certified,"Machine Learning, Deep Learning",Full Stack Developer,Junior,Government,0.5,1,7.0
"Azure, Java, Kubernetes",PhD,11.5,Business Analyst,None,"Excel, C++, R, Kubernetes",Business Analyst,Director,Retail,0.25,1,6.4
"Python, C++",Master's,4.9,"Full Stack Developer, Project Manager",Google Cloud,Excel,Business Analyst,Manager,Consulting,0.0,0,0.0
GCP,Bachelor's,9.1,"Cloud Architect, Machine Learning Engineer, QA Engineer",CompTIA,"NLP, Kubernetes, Project Management, Statistics",Data Engineer,Mid,Government,0.0,0,0.0
"Machine Learning, Power BI",High School,1.4,"Backend Developer, DevOps Engineer, Data Engineer",Cisco Certified,Power BI,Full Stack Developer,Senior,Healthcare,1.0,1,3.1
C++,Associate's,0.4,"Full Stack Developer, Frontend Developer, UX Designer",Google Cloud,Project Management,DevOps Engineer,Junior,Tech,0.0,0,0.0
"Computer Vision, AWS, Machine Learning",Bachelor's,12.2,"Data Engineer, Business Analyst",Scrum Master,"NLP, DevOps, SQL",Business Analyst,Lead,Healthcare,0.0,0,0.0
"Deep Learning, Project Management",High School,14.1,"QA Engineer, Software Engineer",Scrum Master,"Computer Vision, Statistics, Cloud Computing",Data Scientist,Junior,Energy,0.0,0,0.0
"C++, JavaScript, Python, NLP, DevOps",High School,5.2,"Full Stack Developer, DevOps Engineer, Product Manager",PMP,"AWS, DevOps",Cloud Architect,Senior,Manufacturing,0.5,1,3.9
"Azure, Deep Learning, NLP",Master's,9.0,"Frontend Developer, Project Manager, Machine Learning Engineer",Microsoft Certified,Data Analysis,QA Engineer,Lead,Transportation,0.0,1,6.0
"Deep Learning, Docker, Java, SQL, GCP",High School,10.8,"Product Manager, Cloud Architect, Software Engineer",None,"AWS, GCP, SQL",Machine Learning Engineer,Junior,Education,0.6666666666666666,1,7.5
"Power BI, Python, Excel",Master's,11.2,"Product Manager, Frontend Developer, UX Designer",CompTIA,"SQL, Computer Vision",Project Manager,Junior,Manufacturing,0.0,1,4.9
"Statistics, SQL",PhD,7.2,"QA Engineer, Data Engineer, Full Stack Developer",AWS Certified,Python,Data Engineer,Senior,Retail,0.0,0,0.0
"Data Analysis, Project Management, GCP, Statistics",Master's,9.2,Data Engineer,CompTIA,"Computer Vision, Statistics, Excel, Azure",Backend Developer,Mid,Education,0.25,1,5.8
"GCP, DevOps, Kubernetes",Bachelor's,9.9,Machine Learning Engineer,PMP,"AWS, Python",DevOps Engineer,Junior,Education,0.0,0,0.0
"DevOps, Computer Vision, C++",Master's,1.5,"Full Stack Developer, Frontend Developer, Product Manager",Microsoft Certified,Computer Vision,Data Engineer,Manager,Healthcare,1.0,1,7.0
DevOps,Associate's,9.7,"Project Manager, Software Engineer, Data Engineer",CompTIA,SQL,Product Manager,Manager,Government,0.0,1,5.0
Statistics,PhD,7.7,UX Designer,Google Cloud,SQL,UX Designer,Lead,Transportation,0.0,0,0.0
"Cloud Computing, C++, SQL",Master's,5.7,"Data Engineer, Software Engineer",AWS Certified,"R, Power BI, Excel",Machine Learning Engineer,Mid,Transportation,0.0,0,0.0
"Azure, Deep Learning",PhD,3.9,QA Engineer,PMP,SQL,Backend Developer,Lead,Manufacturing,0.0,0,0.0
"DevOps, Tableau, Azure",Master's,9.6,Software Engineer,AWS Certified,DevOps,Project Manager,Junior,Finance,1.0,1,9.8
"Deep Learning, Machine Learning, C++, Project Management",High School,2.5,Full Stack Developer,CompTIA,"Data Analysis, Power BI, GCP",Business Analyst,Mid,Retail,0.0,0,0.0
"GCP, Cloud Computing, Computer Vision, Docker",High School,12.2,"Full Stack Developer, Data Scientist",AWS Certified,"GCP, Cloud Computing, Data Analysis, R",Data Scientist,Lead,Retail,0.5,1,5.6
Machine Learning,Bachelor's,2.6,DevOps Engineer,AWS Certified,"Tableau, Docker",QA Engineer,Senior,Healthcare,0.0,0,0.0
"JavaScript, Tableau, Excel, Docker, Statistics",High School,11.6,"Data Scientist, Data Engineer, UX Designer",Microsoft Certified,"SQL, Project Management, Deep Learning, Kubernetes",Full Stack Developer,Director,Retail,0.0,0,0.0
"Excel, Computer Vision",Associate's,12.3,"Data Scientist, Software Engineer, Backend Developer",Microsoft Certified,Excel,Product Manager,Senior,Healthcare,1.0,1,9.8
"Power BI, Statistics",High School,14.1,Cloud Architect,Microsoft Certified,"Power BI, Data Analysis, Azure",Data Engineer,Lead,Government,0.3333333333333333,1,7.2
"Docker, C++",Associate's,6.9,"Software Engineer, QA Engineer, Machine Learning Engineer",Scrum Master,"C++, JavaScript, Cloud Computing, Python",Data Engineer,Junior,Government,0.25,0,0.0
"GCP, AWS, Computer Vision",Master's,1.0,Software Engineer,CompTIA,GCP,Cloud Architect,Junior,Tech,1.0,1,5.1
Tableau,Master's,10.2,Cloud Architect,AWS Certified,"SQL, R, GCP",Data Engineer,Manager,Manufacturing,0.0,1,7.0
"C++, Python, Machine Learning, NLP",Associate's,4.2,"Project Manager, UX Designer, Frontend Developer",CISSP,"Java, Kubernetes",QA Engineer,Lead,Retail,0.0,0,0.0
"Machine Learning, C++, DevOps, Python",Bachelor's,1.4,"UX Designer, DevOps Engineer",None,"AWS, Java, Python",Project Manager,Director,Healthcare,0.3333333333333333,0,0.0
"Azure, Tableau, Statistics",High School,12.8,"Machine Learning Engineer, DevOps Engineer",Cisco Certified,"Computer Vision, JavaScript",Machine Learning Engineer,Manager,Finance,0.0,0,0.0
"JavaScript, SQL",Associate's,2.1,"Project Manager, Backend Developer",Scrum Master,"Kubernetes, Python",QA Engineer,Senior,Energy,0.0,0,0.0
"Kubernetes, Computer Vision, SQL",High School,7.6,Data Engineer,None,"JavaScript, Azure, Power BI",Frontend Developer,Junior,Transportation,0.0,0,0.0
"Data Analysis, Computer Vision",PhD,11.8,"Backend Developer, Software Engineer",Microsoft Certified,"Deep Learning, Python",Cloud Architect,Manager,Healthcare,0.0,0,0.0
"Project Management, Power BI, Computer Vision, AWS, Deep Learning",Bachelor's,3.0,"Full Stack Developer, Project Manager, DevOps Engineer",CISSP,"C++, Azure, Machine Learning, Java",Cloud Architect,Mid,Transportation,0.0,0,0.0
"Project Management, GCP, Machine Learning, Power BI, Computer Vision",Master's,13.4,Frontend Developer,Google Cloud,"NLP, GCP, Statistics, DevOps",Backend Developer,Manager,Energy,0.25,0,0.0
"Project Management, Docker, Java",Associate's,5.0,"Cloud Architect, Business Analyst, QA Engineer",PMP,"Cloud Computing, C++",Software Engineer,Senior,Consulting,0.0,0,0.0
"Java, Data Analysis, AWS",PhD,5.9,"DevOps Engineer, Data Engineer",PMP,Python,Data Engineer,Mid,Consulting,0.0,1,4.9
"C++, SQL, Kubernetes, Machine Learning",Associate's,2.0,"Backend Developer, Product Manager",Microsoft Certified,"GCP, Cloud Computing, AWS",Data Engineer,Director,Tech,0.0,0,0.0
"Power BI, AWS",Associate's,9.7,"Machine Learning Engineer, QA Engineer",Google Cloud,"Java, AWS, R",Product Manager,Manager,Consulting,0.3333333333333333,0,0.0
"GCP, Power BI, Tableau, Python",Associate's,7.4,"Project Manager, Backend Developer, Business Analyst",PMP,Excel,Data Scientist,Manager,Transportation,0.0,0,0.0
"GCP, Deep Learning",Associate's,14.6,"Full Stack Developer, Data Engineer",Google Cloud,"C++, Deep Learning",Frontend Developer,Junior,Transportation,0.5,1,8.0
"Python, AWS, Cloud Computing, Excel, SQL",Master's,10.5,"UX Designer, Cloud Architect, Full Stack Developer",CompTIA,"Project Management, Machine Learning, Data Analysis",Project Manager,Manager,Tech,0.0,1,7.2
"GCP, Deep Learning, R, NLP, DevOps",Master's,11.4,"Software Engineer, Data Scientist",PMP,"Data Analysis, JavaScript, NLP",Business Analyst,Manager,Finance,0.3333333333333333,1,5.7
"Kubernetes, Project Management, NLP, Cloud Computing",Master's,3.0,"QA Engineer, Data Engineer",AWS Certified,Azure,QA Engineer,Mid,Transportation,0.0,0,0.0
"Java, Power BI, Docker",Bachelor's,10.7,Cloud Architect,Cisco Certified,"JavaScript, Deep Learning, Statistics",Business Analyst,Director,Manufacturing,0.0,1,6.6
"Cloud Computing, SQL, Deep Learning, Python, Project Management",Master's,8.4,"Cloud Architect, Product Manager, QA Engineer",None,"Docker, Computer Vision",Project Manager,Junior,Transportation,0.0,0,0.0
"Kubernetes, Computer Vision, C++",High School,6.1,Project Manager,CISSP,"C++, Project Management, Cloud Computing",Data Scientist,Director,Education,0.3333333333333333,0,0.0
"DevOps, Machine Learning, AWS, SQL",Master's,11.7,"Data Engineer, Data Scientist",Scrum Master,"Data Analysis, Machine Learning, C++, GCP",Software Engineer,Junior,Finance,0.25,1,6.2
"JavaScript, Project Management",Associate's,14.7,"Backend Developer, Data Engineer, Product Manager",AWS Certified,"NLP, DevOps",Machine Learning Engineer,Director,Tech,0.0,0,0.0
Cloud Computing,Associate's,1.4,DevOps Engineer,PMP,"Docker, JavaScript",Cloud Architect,Lead,Education,0.0,0,0.0
"Power BI, Deep Learning, NLP, Cloud Computing, Java",High School,11.8,Machine Learning Engineer,None,"Kubernetes, Deep Learning, GCP",Project Manager,Manager,Consulting,0.3333333333333333,1,7.2
"Python, R",PhD,13.8,"Backend Developer, Product Manager",Cisco Certified,GCP,Machine Learning Engineer,Manager,Finance,0.0,1,6.4
"AWS, Cloud Computing",Associate's,4.7,"DevOps Engineer, Machine Learning Engineer, Product Manager",AWS Certified,"JavaScript, Python",Product Manager,Director,Finance,0.0,0,0.0
"Excel, Docker, GCP",Associate's,5.4,"Data Scientist, Full Stack Developer",Cisco Certified,Project Management,Project Manager,Lead,Consulting,0.0,1,3.6
"NLP, Cloud Computing, DevOps, SQL",Master's,11.9,"Machine Learning Engineer, QA Engineer, Data Scientist",CISSP,"Deep Learning, Project Management, AWS",Project Manager,Junior,Consulting,0.0,1,5.7
"Excel, JavaScript",Master's,14.3,Data Engineer,PMP,"NLP, R, Cloud Computing",Frontend Developer,Senior,Finance,0.0,1,6.5
"Cloud Computing, Python, Machine Learning, JavaScript, AWS",Associate's,14.1,"Software Engineer, Data Engineer, Business Analyst",Microsoft Certified,"Cloud Computing, R, NLP",Cloud Architect,Lead,Consulting,0.3333333333333333,1,8.4
DevOps,High School,0.8,Project Manager,Microsoft Certified,"Java, NLP, Machine Learning",Software Engineer,Director,Retail,0.0,0,0.0
"Deep Learning, R, Python, Azure",Associate's,13.1,Project Manager,CompTIA,"AWS, R, Computer Vision, NLP",Software Engineer,Senior,Healthcare,0.25,1,7.0
